"","Block_ID","TRT_ID","Plot_ID","Sand","Clay","SOM","FC","PWP","BD","AWC_pctg","AWC_mm","Porosity"
"1",1,15,2502,0.21094975998272,0.238034159328524,0.0185635994415608,0.315273048464757,0.145347859780962,1.33,0.169925188683795,0.00226000500949447,0.492363205719413
"2",4,27,204,0.212012128079048,0.228723125735768,0.0189363745832404,0.312419830530217,0.1406747188948,1.33,0.171745111635417,0.00228420998475105,0.490074966478081
"3",4,30,206,0.217183001330868,0.228376177217831,0.0188150457188944,0.311554827520605,0.140457029085996,1.33,0.171097798434609,0.0022756007191803,0.489615902530713
"4",4,2,205,0.215217512324067,0.227627779404789,0.0188664753024267,0.311627009537038,0.140098465105672,1.33,0.171528544431366,0.00228132964093716,0.489576521574783
"5",2,14,203,0.203014032811356,0.24366780571794,0.0190314240349178,0.318025547821669,0.148230928788292,1.33,0.169794619033378,0.00225826843314392,0.494234896726967
"6",2,26,202,0.189954318758569,0.260157307402238,0.019137455107974,0.324486976029482,0.156566406540923,1.33,0.167920569488559,0.00223334357419783,0.498810529652326
"7",2,1,201,0.177042230860394,0.27251887996761,0.0192234683914162,0.329601815934767,0.162812754618944,1.33,0.166789061315823,0.00221829451550044,0.502319273407344
"8",2,5,301,0.176037608969708,0.274689010455379,0.019235338078929,0.330324891560368,0.163900480221347,1.33,0.166424411339021,0.00221344467080898,0.502831660920688
"9",2,20,302,0.191323960340459,0.261128980018103,0.0191301896037852,0.324577376698033,0.157043474548706,1.33,0.167533902149326,0.00222820089858604,0.498917806870466
"10",2,10,303,0.204917724645024,0.24414994022988,0.019020308324018,0.317895969548825,0.148458320064349,1.33,0.169437649484476,0.00225352073814353,0.494206400791588
"11",4,4,304,0.214225811992148,0.226683173737382,0.0189218164006586,0.31149893825381,0.139633498695184,1.33,0.171865439558626,0.00228581034612973,0.489417987070326
"12",4,19,305,0.216394095545429,0.227844962885987,0.0188532883112868,0.311516278181051,0.140197406632976,1.33,0.171318871548075,0.0022785409915894,0.489544055629592
"13",4,21,306,0.21807029554163,0.228804763831178,0.0188030936645672,0.311549336920094,0.140664519877427,1.33,0.170884817042668,0.00227276806666748,0.489655464838438
"14",4,28,406,0.218883897450689,0.229520638746306,0.0187900527177716,0.311639335006067,0.141016786175961,1.33,0.170622548830106,0.00226927989944041,0.489769583112762
"15",4,13,405,0.217391599660661,0.228830576998899,0.0188388827776884,0.311657198588107,0.140683278588764,1.33,0.170973919999342,0.00227395313599125,0.489710928612669
"16",4,15,404,0.216639986423313,0.224463895880249,0.0189048333204985,0.310491566930319,0.138499993614828,1.33,0.171991573315491,0.00228748792509602,0.488697727528467
"17",2,25,403,0.206994522525578,0.245343263146309,0.0190064209345484,0.317947773159708,0.14904075038652,1.33,0.168907022773189,0.00224646340288341,0.494326007083012
"18",2,12,402,0.193294408302521,0.2619596077749,0.0191164158202429,0.324549637484138,0.1574465389513,1.33,0.167103098532838,0.00222247121048675,0.498950923153354
"19",2,32,401,0.178955591367167,0.273842796271974,0.0192103401425036,0.329721972005972,0.163462958218289,1.33,0.166259013787682,0.00221124488337617,0.502449098608337
"20",4,8,506,0.219618479944685,0.230507887842663,0.0187759950796984,0.311821174496294,0.141505925266235,1.33,0.170315249230059,0.00226519281475978,0.489954170986349
"21",4,5,505,0.218147493339024,0.230697736290228,0.0188233971490531,0.312092896937148,0.141613453840737,1.33,0.170479443096411,0.00226737659318227,0.49010645455511
"22",4,34,504,0.217596270488286,0.229085430909079,0.018890723681751,0.311701968678646,0.140809606000174,1.33,0.170892362678472,0.00227286842362368,0.489757771643064
"23",2,17,503,0.209217298484176,0.24739606371332,0.0189900095911379,0.318229881713073,0.150053046872931,1.33,0.168176834840141,0.00223675190337388,0.494626573096922
"24",2,19,502,0.195797933986344,0.262673659769995,0.0190966744254495,0.324419936831717,0.157788292145071,1.33,0.166631644686646,0.00221620087433239,0.49892024040312
"25",2,3,501,0.182654875824466,0.27237761723689,0.01917661864662,0.328845689079926,0.162711927928985,1.33,0.166133761150941,0.00220957902330752,0.501883567679825
"26",2,8,601,0.186160357796812,0.270978401440564,0.0191427655564865,0.32800777133494,0.161994162699453,1.33,0.166013608635487,0.00220798099485198,0.501343977171182
"27",2,2,602,0.198657495240455,0.263333132284406,0.0190724643486629,0.324229376221922,0.158100834241893,1.33,0.166128541980029,0.00220950960833439,0.49885184745771
"28",2,23,603,0.211600203906477,0.250229439531435,0.0189713239168281,0.318720453539542,0.15145602322196,1.33,0.167264430317582,0.00222461692322384,0.495084849459849
"29",4,10,604,0.218379621551238,0.234992715211169,0.018875549754615,0.313318460403247,0.143766140023882,1.33,0.169552320379365,0.00225504586104555,0.491111834995111
"30",4,26,605,0.218638863381899,0.233344402790892,0.0188068351852387,0.312797067831484,0.142936976408219,1.33,0.169860091423266,0.00225913921592943,0.49070296272081
"31",4,17,606,0.220283858884671,0.231709777385325,0.0187609945768453,0.312076903161939,0.142103417111346,1.33,0.169973486050593,0.00226064736447289,0.490194117723889
"32",4,12,805,0.218838768233741,0.239858363427635,0.018770238631672,0.314679028815641,0.146202864678204,1.33,0.168476164137437,0.00224073298302792,0.492214241833509
"33",2,31,803,0.217010888283457,0.257236303507771,0.0189282942936659,0.320024770720325,0.154932598260272,1.33,0.165092172460054,0.00219572589371871,0.496222936883513
"34",2,11,801,0.192386846443291,0.268117543494931,0.019075467289895,0.32640277573622,0.160529869069013,1.33,0.165872906667207,0.00220610965867385,0.500304329331131
"35",4,20,806,0.221566804048114,0.234301918852188,0.0187286432555853,0.312652953428055,0.143393625089151,1.33,0.169259328338905,0.00225114906690743,0.490717588903099
"36",4,24,804,0.220506451821486,0.245464986012074,0.0188394030461964,0.316091081512044,0.149003593124186,1.33,0.167087488387858,0.00222226359555851,0.493373743960838
"37",2,6,802,0.204690727276383,0.264459289872367,0.0190165044416843,0.323756768775606,0.158628280841865,1.33,0.16512848793374,0.00219620888951875,0.498650861745456
"38",2,7,901,0.195033903977193,0.266468195291445,0.0190419976995427,0.325593123077468,0.159690038049645,1.33,0.165903085027823,0.00220651103087005,0.49977044218599
"39",2,34,902,0.207551720798421,0.264691013891782,0.0189864569811071,0.323447629230114,0.158727293616075,1.33,0.16472033561404,0.00219078046366673,0.498491946326272
"40",2,15,903,0.220124615551189,0.260990201997911,0.0189044934021535,0.320709079696419,0.156795955759371,1.33,0.163913123937048,0.00218004454836273,0.496800012494781
"41",4,32,904,0.221818078970177,0.249736436348097,0.0188188997800963,0.317166445307956,0.151137630767388,1.33,0.166028814540568,0.00220818323338956,0.494234662834724
"42",4,6,905,0.218530095328386,0.243189831266261,0.018750011782223,0.31569990526913,0.147876247456818,1.33,0.167823657812312,0.00223205464890374,0.493001017282552
"43",4,11,906,0.22236827635801,0.235362454628565,0.018711524349026,0.312849514209462,0.143919424038942,1.33,0.16893009017052,0.00224677019926792,0.490909741052329
"44",2,21,1001,0.19730869375053,0.264544012501711,0.0190086997341099,0.324750395038809,0.15871434293634,1.33,0.166036052102468,0.00220827949296283,0.499203883309898
"45",2,33,1002,0.210068920904775,0.264381070827827,0.0189556702523947,0.3230273902774,0.15855702237917,1.33,0.16447036789823,0.00218745589304646,0.498244496134592
"46",2,16,1003,0.223535742553461,0.264745537034483,0.018879622486047,0.321365352598642,0.158659866090454,1.33,0.162705486508188,0.0021639829705589,0.497344358753087
"47",4,31,1004,0.223230768850083,0.253020680094558,0.0187971745249355,0.317941505638873,0.152776243443705,1.33,0.165165262195168,0.00219669798719573,0.494856244941991
"48",4,3,1005,0.21794337085787,0.246264179116258,0.0187285608714075,0.316683288600793,0.149422508146632,1.33,0.167260780454162,0.00222456838004035,0.493739725066458
"49",4,7,1006,0.223485171559369,0.235972899586617,0.0186940774149034,0.312868406985779,0.144216943036181,1.33,0.168651463949597,0.00224306447052964,0.490972297882061
"50",4,16,1105,0.218093403453158,0.248055123801406,0.0187071891766382,0.317187104420997,0.150319665593779,1.33,0.166867438827217,0.00221933693640199,0.494130397917288
"51",4,25,1106,0.225091290852804,0.235914109608695,0.0186765942424668,0.312619239172735,0.14417473110007,1.33,0.168444508072666,0.00224031195736645,0.490842030188604
"52",4,9,1104,0.22460577899782,0.254972414569862,0.0187745160664449,0.318331404182939,0.15374677072221,1.33,0.164584633460729,0.00218897562502769,0.495182366865802
"53",2,29,1103,0.227239245199947,0.268453482664404,0.0188540460914267,0.321981252010459,0.160500067039459,1.33,0.161481184970999,0.00214769976011429,0.497846572149242
